Name,revised_gender,UniversityType,Institution,college_names,archive_link,college_url,scholar_profile_url,State,Specialisation,AreaofInterest,UGDegree,UGDepartment,UGInstitute,PGDegree,PGDepartment,PGInstitute,MPhil,MPhilDepartment,MPhilInstitute,Doctoral,DoctoralDepartment,DoctoralInstitute,FirstJobPosition,FirstJobInstitution,FirstJobDuration,SecondJobPosition,SecondJobInstitution,SecondJobDuration,ThirdJobPosition,ThirdJobInstitution,ThirdJobDuration,FourthJobPosition,FourthJobInstitution,FourthJobDuration,FifthJobPosition,FifthJobInstitution,FifthJobDuration,SixthJobPosition,SixthJobInstitution,SixthJobDuration,SeventhJobPosition,SeventhJobInstitution,SeventhJobDuration,EightJobPosition,EightJobInstitution,EightJobDuration,NinthJobPosition,NinthJobInstitution,NinthJobDuration,TenthJobPosition,TenthJobInstitution,TenthJobDuration,EleventhJobPosition,EleventhJobInstitution,EleventhJobDuration,TwelfthJobPosition,TwelfthJobInstitution,TwelfthJobDuration,ThirteenthJobPosition,ThirteenthJobInstitution,ThirteenthJobDuration,FourteenthJobPosition,FourteenthJobInstitution,FourteenthJobDuration,FifteenthJobPosition,FifteenthJobInstitution,FifteenthJobDuration,unique_id,university_type,name,institution,UniversityType_id,State_id,Name_id,Institution_id,unique_id_1,Current_Designation,dept,state,CurrentDesignation_r,identifier,names_scholar,other_names,position,field,total_citation,h-index,i10-index,profile_since,co-authors
A. Nandini,Female,Deemed,Dr. M.G.R. Educational and Research Institute,Dr. M.G.R. Educational and Research Institute,http://web.archive.org/web/20240601035759/https://www.drmgrdu.ac.in/,https://www.drmgrdu.ac.in/,https://scholar.google.com/citations?user=557DevwAAAAJ&hl=en,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2270800011.0,Deemed,A. Nandini,Dr. M.G.R. Educational and Research Institute,2,30,11,80,2300800011,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,,Nandini Adla,not found,"PhD Scholar, PMRF, Indian Institute of Technology Madras","Nuclear Waste Disposal, Unsaturated Soil Mechanics",8,2,0,Since 2019,"Pavan Kumar BhukyaPhD Scholar, Indian institute of technology, Madras.Verified email at smail.iitm.ac.in, Dr. D. N. ArnepalliIIT MadrasVerified email at iitm.ac.in, Hari Krishna PadavalaProfessor of Civil Engineering, NIT WarangalVerified email at nitw.ac.in"
A. Narayanamoorthy,Male,State,Alagappa University,Alagappa University,No snapshot available,https://www.alagappauniversity.ac.in/,https://scholar.google.com/citations?user=D5xI_ZgAAAAJ&hl=en,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270040012.0,State,A. Narayanamoorthy,Alagappa University,6,30,12,4,6300040012,Senior Professor & HOD,Economics,Tamil Nadu,,,A. Narayanamoorthy,not found,"Senior Professor and Head, Dept of Economics and Rural Development, Alagappa University, Tamil Nadu","Irrigation economics, micro-irrigation, rural evaluation studies, agricultural economics",3407,32,73,Since 2019,"M. Dinesh KumarInstitute For Resource Analysis And PolicyVerified email at irapindia.org, Madhusudan BhattaraiNational Project Manager, SDG Project, UNDP and NPC NepalVerified email at mountdigit.com, R S DeshpandeVisiting Professor ISEC, Former Director ISEC and Rajiv Gandhi National Fellow ICSSR, Institute forVerified email at isec.ac.in, Dr. R. SureshAssistant professor of Department of Economics and Rural Development, Alagappa UniversityVerified email at alagappauniversity.ac.in, pandiyathuray allivit university, economicsVerified email at vit.ac.in, Nitin BassiCouncil on Energy, Environment and Water (CEEW)Verified email at ceew.in, Jothi PAdjunct Lecturer, Department of Economics and Rural Development, AlagappaVerified email at alagappauniversity.ac.in, Munir A. HanjraIWMI - International Water Management InstituteVerified email at cgiar.org, Amalendu JyotishiProfessor, School of Development, Azim Premji UniversityVerified email at apu.edu.in, L. VenkatachalamMadras Institute of Development StudiesVerified email at mids.ac.in"
A. Pallavi,Female,State,Andhra University,Andhra University,No snapshot available,https://www.andhrauniversity.edu.in/,https://scholar.google.com/citations?user=PKKBAe4AAAAJ&hl=en,Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010080013.0,State,A. Pallavi,Andhra University,6,1,13,8,6010080013,Honorary Director,Centre for Dr. Durgabai Deshmukh Women's Studies,Andhra Pradesh,Professor,,andhe pallavi,not found,"Professor & HOD of INSTRUMENTATION TECHNOLOGY, RNSIT","error control codes, rf and microwave, image procesing",27,3,0,Since 2019,"Dr Pramodkumar P. GuptaAssistant ProfessorVerified email at dypatil.edu, Dr. Andhe DharaniProfessor & Director, Dept. of MCA,R.V.College of EngineeringVerified email at rvce.edu.in"
A. Ramya,Female,State,Annamalai University,Annamalai University,http://web.archive.org/web/20240731112940/https://www.annamalaiuniversity.ac.in/,https://www.annamalaiuniversity.ac.in/,https://scholar.google.com/citations?user=Houq84gAAAAJ&hl=en,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270090014.0,State,A. Ramya,Annamalai University,6,30,14,9,6300090014,Assistant Professor,Economics,Tamil Nadu,Assistant Professor,,Koduvayur A Ramya,not found,"Postdoc researcher, Technical University of Munich, Forschungs-Neutronenquelle Heinz Maier-Leibnitz","Rheology, Constitutive modeling, Polymers, Colloids, Chemical Engineering",101,7,5,Since 2019,"Abhijit P DeshpandeProfessor of Chemical Engineering, Indian Institute of Technology Madras, Chennai; 91-44-22574169Verified email at iitm.ac.in, Ganesh ShanmugamSenior Principal Scientist, CSIR-Central Leather Research InstituteVerified email at clri.res.in, Kodavaty JagadeeshwarAssociate professor, UPES, Dehradun.Verified email at ddn.upes.ac.in, Ramanathan SrinivasanDepartment of Chemical Engineering, Indian Institute of Technology - Madras, IndiaVerified email at iitm.ac.in, pramod dorishettyEar Science Institute AustraliaVerified email at earscience.org.au, Niraikulam AyyaduraiSenior Principal Scientist of Central leather Research InstituteVerified email at clri.res.in"
A. S. Pawar,Male,State,Dr. Babasaheb Ambedkar Marathwada University,Dr. Babasaheb Ambedkar Marathwada University,http://web.archive.org/web/20240802040806/http://www.bamu.ac.in/,http://www.bamu.ac.in/,https://scholar.google.com/citations?user=TUaJukMAAAAJ&hl=en,Maharashtra,Economics,,,,,,,,,,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170770015.0,State,A. S. Pawar,Dr. Babasaheb Ambedkar Marathwada University,6,20,15,77,6200770015,Professor,Economics,Maharashtra,Professor,,Amol S Pawar,not found,"Assistant Professor, Department of Chemistry K. J. Somaiya College","Material Chemistry, Composite materials",107,6,4,Since 2019,"Shivram GarjeProfessor in Inorganic ChemistryVerified email at chem.mu.ac.in, Neerish RevaprasaduUniversity of ZululandVerified email at unizulu.ac.za, Sixberth MloweSenior Lecturer University of Dar es Salaam - DUCEVerified email at udsm.ac.tz, Shivram GarjeDepartment of Chemistry, University of MumbaiVerified email at chem.mu.ac.in"
A. Sangamithra,Female,State,Bharathiar University,Bharathiar University,No snapshot available,https://b-u.ac.in/home,https://scholar.google.com/citations?user=kIX3KxwAAAAJ&hl=en,Tamil Nadu,"Health Economics, Medical Economics, Mental Health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270260016.0,State,A. Sangamithra,Bharathiar University,6,30,16,26,6300260016,Professor,Economics,Tamil Nadu,Professor,,Dr.A.Sangamithra,Sangamithra Asokapandian,"Assistant Professor, Department of Food Science and Technology, Pondicherry University, Puducherry","Food Engineering, Fruit and Vegetable Processing, Drying Technology",916,11,11,Since 2019,"Gabriela John SwamySan Jose State UniversityVerified email at sjsu.edu, Sivakumar VenkatachalamProfessor, Department of Chemical Engineering, A. C. Tech Campus, Anna UniversityVerified email at annauniv.edu, Sasikala ShanmugamSRM UniversityVerified email at ktr.srmuniv.ac.in, R.SORNA PREMAASSISTANT PROFESSOR, DEPARTMENT OF FOOD TECHNOLOGY, KONGU ENGINEERING COLLEGE.Verified email at kongu.edu"
A. Sankaran,Male,Central,Pondicherry University,Pondicherry University,http://web.archive.org/web/20240801003729/https://www.pondiuni.edu.in/,https://www.pondiuni.edu.in/,https://scholar.google.com/citations?user=NF8is_sAAAAJ&hl=en,Pondicherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231830017.0,Central,A. Sankaran,Pondicherry University,1,26,17,227,1262270017,Associate Professor,Economics,Pondicherry,Associate Professor,,Anush Sankaran,not found,Microsoft Security Research,"AI for Security, Deep Learning, Democratization of AI, Creative AI, Biometrics",1324,21,27,Since 2019,"Mayank VatsaProfessor, IIT JodhpurVerified email at iitj.ac.in, Richa SinghProfessor, IIT JodhpurVerified email at iitj.ac.in, Aakarsh MalhotraAI Research Manager, Mastercard | Ph.D., IIIT-Delhi | Ex - IITVerified email at iiitd.ac.in, Angshul MajumdarProfessor, TCG CRESTVerified email at iiitd.ac.in, Tejas Indulal DhamechaMicrosoftVerified email at microsoft.com, Gaurav GoswamiIBM SingaporeVerified email at ibm.com, Aakriti TayalGraduated from IIIT-Delhi, SDE at AmazonVerified email at iiitd.ac.in, Archit TanejaGraduated from IIIT-Delhi, SDE at AmazonVerified email at iiitd.ac.in, Rohit KeshariApplied Scientist @ Amazon | PhD from IIIT DelhiVerified email at iiitd.ac.in"
A. Saravanadurai,Male,State,Periyar University,Periyar University,No snapshot available,https://www.periyaruniversity.ac.in/,https://scholar.google.com/citations?user=cXmBSNIAAAAJ&hl=en,Tamil Nadu,"Agricultural Economics , Rural Development",,B.A,"MADURA COLLEGE, MADURAI ( 1990 )",,M.A.,,"BHARATHIAR UNIVERSITY, COIMBATORE ( 1993 )",,,"BHARATHIAR UNIVERSITY, COIMBATORE ( 2000 )",,,,,ASSISTANT PROFESSOR,SRI RAMALINGA SOWDESWARI COLLEGE FOR SCIENCE AND COMMENCE,( 2000 - 2005 ),ASSISTANT PROFESSOR,"PERIYAR UNIVERSITY, SALEM",( 2005 - 2017 ),ASSOCIATE PROFESSOR,"PERIYAR UNIVERSITY, SALEM",( 2017 - 2020 ),PROFESSOR,"PERIYAR UNIVERSITY, SALEM",( 2020 - Present ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271820018.0,State,A. Saravanadurai,Periyar University,6,30,18,226,6302260018,PROFESSOR,Economics,Tamil Nadu,Professor,,Mehjabeen,not found,"Science Associate, APAARI, Bangkok, Thailand","Agricultural Economics, Public Policy, Macro Economics, Micro Economics, International Economics",42,3,2,Since 2019,not found
A. Sugirtha Rani,Female,State,Periyar University,Periyar University,No snapshot available,https://www.periyaruniversity.ac.in/,https://scholar.google.com/citations?user=rW0GmNoAAAAJ&hl=en,Tamil Nadu,"Health Economics , Economics of Education , Labour Economics , Nutrition Economics , Gender Economics , Social Exclusion and Inclusive Policy",,B.A,"STC, Thirunelveli ( 1995 )",,M.A.,,"Bharathiar Univ., Cbe ( 1997 )",,,,Ph.D.,,"Bharathiar Univ., Cbe ( 2002 )",Project Fellow,"Bharathiar Univ., Cbe",( 1997 - 2001 ),Lecture,"LVCASW,Cbe",( 2003 - 2004 ),Lecture,"PU,Salem",( 2005 - 2015 ),Associate Professor,"GRI,Dindugul",( 2015 - 2016 ),Associate Professor,"PU,Salem",( 2016 - 2019 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3271820019.0,State,A. Sugirtha Rani,Periyar University,6,30,19,226,6302260019,Associate Professor,Economics,Tamil Nadu,Associate Professor,,Sugirtha Rani,not found,"Professor of Economics, periyar university","health economics, economics of education, labour economics and gender economics",14,2,0,Since 2019,"K UdayakumarResearch FellowVerified email at periyaruniversity.ac.in, R. KALIRAJANAyya Nadar Janaki Ammal College, Sivakasi.Verified email at anjaconline.org, V. VaithianathanAssociate Professor, ECE Dept., SSN College of EngineeringVerified email at ssn.edu.in"
A. V. Mansare,Male,State,Kavayitri Bahinabai Chadhari North Maharashtra University,Kavayitri Bahinabai Chadhari North Maharashtra University,http://web.archive.org/web/20240731161332/http://nmu.ac.in/en-us/,http://nmu.ac.in/en-us/,not found,Maharashtra,"Micro Economics, International Economics",,,,,M.A.,,,M.Phil.,,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3171360020.0,State,A. V. Mansare,Kavayitri Bahinabai Chadhari North Maharashtra University,6,20,20,180,6201800020,Assistant Professor (Contractual),"School of Social Sciences, Economics",Maharashtra,Assistant Professor,,not found,not found,not found,not found,not found,not found,not found,not found,not found
