Name,revised_gender,UniversityType,Institution,college_names,archive_link,college_url,scholar_profile_url,State,Specialisation,AreaofInterest,UGDegree,UGDepartment,UGInstitute,PGDegree,PGDepartment,PGInstitute,MPhil,MPhilDepartment,MPhilInstitute,Doctoral,DoctoralDepartment,DoctoralInstitute,FirstJobPosition,FirstJobInstitution,FirstJobDuration,SecondJobPosition,SecondJobInstitution,SecondJobDuration,ThirdJobPosition,ThirdJobInstitution,ThirdJobDuration,FourthJobPosition,FourthJobInstitution,FourthJobDuration,FifthJobPosition,FifthJobInstitution,FifthJobDuration,SixthJobPosition,SixthJobInstitution,SixthJobDuration,SeventhJobPosition,SeventhJobInstitution,SeventhJobDuration,EightJobPosition,EightJobInstitution,EightJobDuration,NinthJobPosition,NinthJobInstitution,NinthJobDuration,TenthJobPosition,TenthJobInstitution,TenthJobDuration,EleventhJobPosition,EleventhJobInstitution,EleventhJobDuration,TwelfthJobPosition,TwelfthJobInstitution,TwelfthJobDuration,ThirteenthJobPosition,ThirteenthJobInstitution,ThirteenthJobDuration,FourteenthJobPosition,FourteenthJobInstitution,FourteenthJobDuration,FifteenthJobPosition,FifteenthJobInstitution,FifteenthJobDuration,unique_id,university_type,name,institution,UniversityType_id,State_id,Name_id,Institution_id,unique_id_1,Current_Designation,dept,state,CurrentDesignation_r,identifier,names_scholar,other_names,position,field,total_citation,h-index,i10-index,profile_since,co-authors
Aakanksha Kaushik,Female,State,Delhi Technological University (East Campus),Delhi Technological University (East Campus),No snapshot available,https://www.dtu.ac.in/Web/Departments/eastcampus/about/,https://scholar.google.com/citations?user=wKeANioAAAAJ&hl=en,Delhi,"Public Finance, Microeconomics, Econometrics",,B.A.,,,M.A.,,,M.Phil.,Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060670022.0,State,Aakanksha Kaushik,Delhi Technological University (East Campus),6,7,30,67,6070670030,Assistant Professor,Humanities,Delhi,Assistant Professor,,RAHUL KAUSHIK,not found,"Professor of Pharmacy, Metro College of Health Sciences and Research","Pharmacognosy, Natural Chemistry, Ayurvedic formulations",401,11,12,Since 2019,"Jainendra JainProfessor of Pharmacy, Ram-Eesh Institute of Vocational and Technical EducationVerified email at rameesh.org, Rashmi YadavIFTM University, MoradabadVerified email at iftmuniversity.ac.in, Azhar Danish KhanAssociate Professor , Ram-Eesh Group of InstitutionsVerified email at rameesh.org, PROF AVIJIT MAZUMDERNOIDA INSTITUTE OF ENGINEERING AND TECHNOLOGY(PHARMACY INSTITUTE)Verified email at niet.co.in, Prof Adetunji Charles Oluwaseun (Ph....Professor and Director of Research and Innovation, Edo State University UzairueVerified email at edouniversity.edu.ng, Dr. Raghvendra Raman MishraAssistant Professor, Medical Lab Technology, DDUKK, Banaras Hindu UniversityVerified email at bhu.ac.in, Dr. Pragya MishraFood Processing and Management, Deen Dayal Upadhyay Kaushal Kendra, Banaras Hindu UniversityVerified email at bhu.ac.in, Dr. Krishan Kumar VermaMetro College of Health Sciences & ResearchVerified email at metrocollege.in, Mohammad TabishCollege of Medicine, Shaqra University, Saudi ArabiaVerified email at su.edu.sa, Payal KesharwaniRameesh institute of vocational training and educationVerified email at rameesh.org, Louhana ReboucasUniversidade Federal do CearáVerified email at ifce.edu.br, Praveen Kumar GaurProfessor & Principal, Metro College of Health Sciences and ResearchVerified email at metrocollege.in, DR. RAJNISH KUMARAssociate ProfessorVerified email at niet.co.in, Dr. Mukesh Kr. SinghAssociate Professor @Faculty of Pharmacy, IFTM University, Moradabad Uttar PradeshVerified email at iftmuniversity.ac.in, Sadhana.J. RajputProfessor of Pharmacy, The M. S. University of Baroda, Vadodara, IndiaVerified email at msubaroda.ac.in, Dr. Reema SinhaProfessor, Rameesh Institute ,GreaterNoidaVerified email at rameesh.org, Dr. Smriti OjhaDr. A P J A K TECH. UNIVERSITYVerified email at vgi.ac.in, SUDHANSHU MISHRAMadan Mohan Malaviya University of Technology, GorakhpurVerified email at mmmut.ac.in, Himanshu singhAssistant ProfessorVerified email at niet.co.in, Nágila M. P. S. RicardoProfessora Titular do Departamento de Quimica Organica e InorganicaVerified email at ufc.br, View all"
Aarti Suryavanshi,Female,Deemed,Manav Rachna International Institute of Research and Studies,Manav Rachna International Institute of Research and Studies,http://web.archive.org/web/20240801023938/https://mriirs.edu.in/,https://mriirs.edu.in/,https://scholar.google.com/citations?user=2oy6wrQAAAAJ&hl=en,Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2091580023.0,Deemed,Aarti Suryavanshi,Manav Rachna International Institute of Research and Studies,2,10,31,202,2102020031,Assistant Professor,Economics,Haryana,Assistant Professor,,Aarti Kinikar,not found,Unknown affiliation,not found,2078,24,57,Since 2019,not found
Aas Mohammad,Male,Central,Jamia Millia Islamia,Jamia Millia Islamia,No snapshot available,https://jmi.ac.in/,https://scholar.google.com/citations?user=3JHHEhwAAAAJ&hl=en,Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061210024.0,Central,Aas Mohammad,Jamia Millia Islamia,1,7,32,166,1071660032,Assistant Professor,Economics,Delhi,Assistant Professor,,Dr. Aas Mohammad,not found,Professor in Mechanical Engineering,Mechanism and Machine Design,866,15,20,Since 2019,"Dr. Pallav Gupta (AMIE, LMMRSI, LMT...Dept. of Mechanical Engg., Amity University Uttar PradeshVerified email at amity.edu, Suha K. ShihabProfessor, College of Engineering, University of Diyala, IraqVerified email at engineering.uodiyala.edu.iq, Arshad Noor Siddiquee, PhD(IITD)Professor, Department of Mechanical Engineering, Jamia Millia Islamia (A central university), INDIAVerified email at jmi.ac.in, Zahid A. KhanProfessor, Department of Mechanical Engineering, Jamia Millia IslamiaVerified email at jmi.ac.in, Kishor Kumar SadasivuniCenter for Advanced Materials & Department of Mechanical Engineering, Qatar University, QatarVerified email at qu.edu.qa, Dr. Hasan Zakir JafriMechanical Engineering, Jamia Millia Islamia, UniversityVerified email at st.jmi.ac.in, Abdul QaiyumPh.D ScholarVerified email at st.jmi.ac.in, Dr. Moti Lal RinawaGovernment Engineering College Jhalawar, RajasthanVerified email at ces.iitd.ac.in, Deepika SinghOhio State UniversityVerified email at osu.edu, Dr. Y Vijaya KumarPrincipal, GM Institute of Technology, Davangere-577006Verified email at gmit.ac.in, Dr. Jiyaul MustafaAssistant Professor, Bennett University (The Times Group), Greater Noida, IndiaVerified email at bennett.edu.in, Mohammad Hossein KianmehrProfessor, Agrotechnology, University of TehranVerified email at ut.ac.ir, hadi samimiDept. of Biosystems Engineering, Faculty of Agriculture, University of Kurdistan, Sanandaj, IranVerified email at uok.ac.ir, MUZAKKIR S MProfessor, Mechanical Engineering, Jamia Millia Islamia, New Delhi, IndiaVerified email at jmi.ac.in, Mohd Hussaini AbbasUiTMVerified email at ppinang.uitm.edu.my, Prof. Sabah KhanJamia Millia IslamiaVerified email at jmi.ac.in, Dhssraj SinghVerified email at ccf.org, Sandeep ChauhanDr A P J Abdul Kalam Technical University, LucknowVerified email at gniot.net.in"
Aasheerwad Dwivedi,Male,Central,Delhi University,Delhi University,No snapshot available,https://www.du.ac.in/,https://scholar.google.com/citations?user=nwtUrC8AAAAJ&hl=en,Delhi,"Applied Microeconomics, Econometrics",,,,,,,,M.Phil.,,,Ph.D.,JNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060680025.0,Central,Aasheerwad Dwivedi,Delhi University,1,7,33,68,1070680033,,Faculty of Management Studies,Delhi,,,Aasheerwad Dwivedi,not found,Shri Ram College of Commerec and Jawaharlal Nehru University,economics,25,4,0,Since 2019,not found
Aastha Arora,Female,State,Guru Gobind Singh Indraprastha Vishwavidyalaya,Guru Gobind Singh Indraprastha Vishwavidyalaya,No snapshot available,http://www.ipu.ac.in/,https://scholar.google.com/citations?user=6vKfkFoAAAAJ&hl=en,Delhi,,"Managerial Economics, Financial Econometrics, Economic Development and Policy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060960026.0,State,Aastha Arora,Guru Gobind Singh Indraprastha Vishwavidyalaya,6,7,34,96,6070960034,Assistant Professor,School of Management Studies,Delhi,Assistant Professor,,Aastha Arora,not found,Unknown affiliation,not found,67,2,2,Since 2019,not found
Ab. Hamid Mir,Male,State,Islamic University of Sciences & Technology University,Islamic University of Sciences & Technology University,No snapshot available,https://www.iust.ac.in/,https://scholar.google.com/citations?user=PEeCCAgAAAAJ&hl=en,Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3111170027.0,State,Ab. Hamid Mir,Islamic University of Sciences & Technology University,6,14,35,162,6141620035,Assistant Professor,Economics,Jammu and Kashmir,Assistant Professor,,Dr. Abdul Hamid Wani,not found,"Professor of Botany, University of Kashmir, India","Plant Pathology, Mycology, Plant Nematology",2599,22,42,Since 2019,not found
Abdul Azeez N.p.,Male,Central,Aligarh Muslim University,Aligarh Muslim University,http://web.archive.org/web/20240801202819/https://amu.ac.in/,https://www.amu.ac.in/,https://scholar.google.com/citations?user=feb7HKIAAAAJ&hl=en,Uttar Pradesh,,"Mathematical Methods, Micro Economics, Indian Economy, Money and Banking, Rural Development, Research Methodology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300050028.0,Central,Abdul Azeez N.p.,Aligarh Muslim University,1,34,36,5,1340050036,Assistant Professor,Economics,Uttar Pradesh,Assistant Professor,,Dr. Abdul Azeez N.P.,not found,"Aligarh Muslim University, Department of Economics","Rural Development, Human Resource Development, Digital Finance",157,6,2,Since 2019,"Prof. S. M. Jawed AkhtarDepartment of Economics, Aligarh Muslim University, Aligarh. 202002Verified email at amu.ac.in, Nasira Banu M.Research Scholar, EMEA College of Arts & Science, Calicut University"
Abdul Hannan,Male,State,Magadh University,Magadh University,No snapshot available,https://www.magadhuniversity.ac.in/,https://scholar.google.com/citations?user=plWoofUAAAAJ&hl=en,Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3031480029.0,State,Abdul Hannan,Magadh University,6,4,37,192,6041920037,Assistant Professor,Economics,Bihar,Assistant Professor,,Abdul Hannan Qureshi,not found,The Hong Kong Polytechnic University (PolyU),"Construction Management, Artificial Intelligence, Sustainability, Photogrammetry, Construction",1134,19,32,Since 2019,"AP Ts Dr Wesam Alaloul (PMP)Associate Professor, Civil & Environmental Engineering, Universiti Teknologi PETRONASVerified email at utp.edu.my, Dr. Syed SaadCECOS University of IT & Emerging SciencesVerified email at cecos.edu.pk, Syed AmmadGriffith University AustraliaVerified email at griffithuni.edu.au, Khalid Mahmoud AlzubiAl-Balqa Applied UniversityVerified email at bau.edu.jo, Aawag Mohsen AlawagResearch Assistant at Department of Civil Engineering, Universiti Teknologi PETRONASVerified email at utp.edu.my, Abdullah O. BaarimahCollege of Engineering, A'Sharqiyah University (ASU), OmanVerified email at asu.edu.om, Arnadi MurtiyosoITES-FORM, ETH ZürichVerified email at usys.ethz.ch, Bilal ManzoorPostdoctoral Fellow, The HongKong Polytechnic UniversityVerified email at polyu.edu.hk, Syed Jawad HussainSS-CASE-ITVerified email at case.edu.pk, Ir Dr Idris OthmanUniversiti Teknologi PETRONAS, UTPVerified email at utp.edu.my, Vipin Kumar OadGdańsk University of Technology, Faculty of Civil and Environmental EngineeringVerified email at pg.edu.pl, Liza Evianti TanjungUNIVERSITAS MUHAMMADIYAH SUMATERA UTARAVerified email at umsu.ac.id, Abdul Mateen KhanGraduate Research AssistantVerified email at utp.edu.my, Ahmed Farouk Kineber PhD, VMA, P3OCentral Queensland UniversityVerified email at cqu.edu.au, Muhammad KamranLecturer, University of LahoreVerified email at ce.uol.edu.pk, Citra Utami, ST. MTDosen Politeknik Negeri MedanVerified email at polmed.ac.id, DR. GHULAM YASEENAssociate Professor, Civil Engineering Department, MY University , IslamabadVerified email at myu.edu.pk, Muhammad IrfanLecturer Civil Engineering Department, HITEC University, Taxila, Pakistan.Verified email at hitecuni.edu.pk, Moustafa HOUDAAmerican University of The Middle EastVerified email at aum.edu.kw, Muhammad Basit KhanDepartment of Civil and Environmental Engineering, Universiti Teknologi PETRONAS,Bandar Seri IskandaVerified email at utp.edu.my, View all"
Abhey Singh,Male,State,Chaudhary Devi Lal University,Chaudhary Devi Lal University,http://web.archive.org/web/20240731164521/https://www.cdlu.ac.in/,https://www.cdlu.ac.in/,https://scholar.google.com/citations?user=Fs5D35IAAAAJ&hl=en,Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3090490030.0,State,Abhey Singh,Chaudhary Devi Lal University,6,10,38,49,6100490038,Professor,Economics,Haryana,Professor,,Kanwar Abhay Singh,not found,"Ph.D. , Department of Biomedical Engineering, Texas A&M University",not found,934,12,13,Since 2019,"Akhilesh K GaharwarProfessor, Biomedical Engineering, Texas A&M UniversityVerified email at tamu.edu, Charles W. PeakInstructional Assistant Professor, Biomedical Engineering, Texas A&M UniversityVerified email at tamu.edu, Kaivalya DeoPh.D., Dept. of Biomedical Engineering, Texas A&M UniversityVerified email at tamu.edu, James CarrowCiRC BiosciencesVerified email at circbiosciences.com, Lokhande, GirirajGraduate Student, Texas A&M UniversityVerified email at tamu.edu, Manish K. JaiswalUniversity of Texas at AustinVerified email at austin.utexas.edu, Lauren M. CrossSeattle Children's Research InstituteVerified email at seattlechildrens.org, Abhishek JainAssociate Professor, Biomedical Engineering and Medical Physiology, Texas A&M UniversityVerified email at tamu.edu, Tanmay MathurResearch Scientist, Revi Life SciencesVerified email at revilifesciences.com, Navaneeth Krishna Rajeeva PandianWyss InstituteVerified email at wyss.harvard.edu, Shounak Roy, Ph.DIndian Institute of Technology Mandi | Fulbright-Nehru Doctoral FellowVerified email at students.iitmandi.ac.in"
Abhijit Banerji,Male,IIT,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,No snapshot available,https://home.iitd.ac.in/,https://scholar.google.com/citations?user=HLpqZooAAAAJ&hl=id,Delhi,,"Applied Micro and IO, Agricultural Economics, and Experimental and Behavioural economics.",,,,M.Sc.,,Delhi School of Economics,,,,Ph.D.,Yale University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Abhijit Banerji,Indian Institute of Technology Delhi,5,7,39,156,5071560039,Professor,Humanities and Social Sciences,Delhi,Professor,,Abhijit Banerjee,not found,Professor of Economics,economics,87032,111,288,Sejak 2019,not found
ABHILASH S NAIR,Male,IIM,IIM-Kozhikode,IIM-Kozhikode,http://web.archive.org/web/20240802002016/https://www.iimk.ac.in/,https://www.iimk.ac.in/,https://scholar.google.com/citations?user=cq_s47wAAAAJ&hl=en,Kerala,,"pricing models, market microstructure, and regulatory economics",B.B.A.,Finance,Sardar Patel University,M.B.A.,Finance,Sardar Patel University,,,,Ph.D.,Economics,Indian Institute of Technology Bombay,Assistant Professor and Chairperson Finance,Accounting and Control Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,ABHILASH S NAIR,IIM-Kozhikode,3,17,21,121,3171210021,Professor,"Finance, Accounting & Control",Kerala,Professor,,Pullanchiyodan Abhilash,not found,"Research Assistant Professor, SRMIST Chennai","Supercapacitors, Wearable energy storage, Microwave ceramics, LTCC, Printing inks",1347,18,26,Since 2019,"Ravinder DahiyaProfessor, ECE Dept, Northeastern University, Boston, USAVerified email at northeastern.edu, Libu ManjakkalLecturer, School of Computing and Engineering & the Built Environment, Edinburgh Napier UniversityVerified email at napier.ac.uk, Kuzhichalil Peethambharan SurendranPrincipal Scientist, CSIR-NIIST, ThiruvananthapuramVerified email at niist.res.in, Mailadil Thomas SebastianChief Scientist retired, CSIR-National Institute for Interdisciplinary Science and TechnologyVerified email at ee.oulu.fi, Ensieh S. HosseiniAssistant Professor, Durham UniversityVerified email at durham.ac.uk, Dhanesh ThomasDept. of Physics, Govt. College Chittur, Kerala, IndiaVerified email at chitturcollege.ac.in.c-01a1z0en.appstempdomain.goog, Markellos NtagiosUniversity of GlasgowVerified email at student.gla.ac.uk, Prakash KaripothResearch Fellow, University of LeedsVerified email at leeds.ac.uk, Habib NassarUniversity of GlasgowVerified email at research.gla.ac.uk, Ananthakumar SolaiappanChief Scientist, CSIR National Institute For Interdisciplinary Science and TechnologyVerified email at niist.res.in, Kanakangi SResearch Associate, DBT-RGCBVerified email at rgcb.res.in, William NavarajSenior Lecturer in the Department of Engineering, Nottingham Trent University, UKVerified email at ntu.ac.uk, Pablo Escobedo (ORCID:0000-0002-1...University of Granada (RoR:04njjy449) - ECsens Research GroupVerified email at ugr.es, Oliver OziokoUniversity of DerbyVerified email at derby.ac.uk, Balagopal N. NairCurtin UniversityVerified email at curtin.edu.au, Fabiane Fantinelli FrancoPhD ResearcherVerified email at glasgow.ac.uk, Roshni Satheesh BabuResearch Fellow, University of SouthamptonVerified email at soton.ac.uk, Prof. P. MohananMicrowave, radar, Antenna lab, Electronics Cochin University of Science & Technology, Cochin, KeralaVerified email at cusat.ac.in, Mitradip BhattacharjeeIndian Institute of Science Education and Research (IISER) BhopalVerified email at iiserb.ac.in, Aleksey YaremchenkoPrincipal Researcher, CICECO, University of AveiroVerified email at ua.pt, View all"
Abhiman Das,Male,IIM,IIM-Ahmedabad,IIM-Ahmedabad,http://web.archive.org/web/20240801125752/https://www.iima.ac.in/,https://www.iima.ac.in/,https://scholar.google.com/citations?user=TZDOJ6cAAAAJ&hl=en,Gujarat,,"Monetary Economics
Applied Econometrics and Time Series Analysis
Theory of Firms
Banking Efficiency and Productivity Analysis using both Parametric and Nonparametric methods
Survey Data Analysis
Measurement of Macro-Economic Indicators
Economic Development
Current Research:
Transmission of Monetary Policy
Measurement of Inflation Expectations
Economic Development and Banking
Efficiency and Productivity of Banking","B. Sc., ","Honours in Statistics, with Mathematics and Physics, ",Calcutta University.,M. Sc," Statistics, Population Studies","Calcutta University, International Institute for Population Sciences, Bombay",,,,"Ph.D,","Population Studies,","International Institute for Population Sciences, Bombay",Certified Associate,Indian Institute of Bankers (CAIIB),2006,Professor,Indian Institute of Management Ahmedabad,2015-Present,Chairperson,"Economics Area, IIM Ahmedabad",April 2016 to March 2018,Chairperson,"Doctoral (Ph. D.) Programme in Management, IIM Ahmedabad",April 2018 to March 2020,RBI Chair Professor,"Finance and Economics, IIM Ahmedabad",April 2016 to April 2022,Chairperson,Misra Centre for Financial Markets and Economy,April 2019 to April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,Abhiman Das,IIM-Ahmedabad,3,9,40,114,3091140040,Professor,Economics,Gujarat,Professor,,Abhiman Das,not found,Professor of Economics,Economics,3817,26,40,Since 2019,not found
Abhinaba Lahiri,Male,IIT,IIT Jodhpur,IIT Jodhpur,No snapshot available,https://www.iitj.ac.in/,https://scholar.google.com/citations?user=q8OAQP8AAAAJ&hl=en,Rajasthan,,"Social Choice Theory, Mechanism Design, Game Theory",,,,,,,,,,Ph.D.,Quantitative Economics Department,"Maastricht University, Maastricht, The Netherlands",Assistant Professor,Indian School of Business and Finance,August 2017 - June 2018,Assistant Professor,"Indian Institute of Science Education and Research, Bhopal",July 2018 - June 2021,Assistant Professor,"Indian Institute of Technology, Jodhpur",August 2021 - Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Abhinaba Lahiri,IIT Jodhpur,5,28,41,143,5281430041,Assistant Professor,Centre for Mathematical and Computational Economics,Rajasthan,Assistant Professor,,Anup Pramanik,not found,Shiv Nadar University,Mechanism Design and Social Choice Theory,88,5,4,Since 2019,"Debasis MishraIndian Statistical Institute, DelhiVerified email at isid.ac.in, Abhinaba LahiriAssistant professorVerified email at iitj.ac.in, Sarvesh BandhuIndian Institute of Management, BangaloreVerified email at iimb.ac.in, Arunava SenIndian Statistical InstituteVerified email at isid.ac.in"
Abhinav Anand,Male,IIM,IIM-Bangalore,IIM-Bangalore,http://web.archive.org/web/20240801232617/https://www.iimb.ac.in/,https://www.iimb.ac.in/,https://scholar.google.com/citations?user=eJLYTlMAAAAJ&hl=en,Karnataka,,"Quantitative Finance, Financial Econometrics and Non-cooperative Games.","B Tech,",Chemical Engineering," NIT Karnataka, Surathkal, India ",MS,"Applied Mathematics and Statistics,","SUNY Stony Brook, USA ",,,,PhD,"Economics,","SUNY Stony Brook, USA ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,Abhinav Anand,IIM-Bangalore,3,16,42,115,3161150042,Full-time Visiting Faculty,Finance & Accounting,Karnataka,Professor,,Abhinav Anand,not found,"Assistant Professor, Vellore Institute of Technology","Colloidal Nanocrystals, Nanotechnology, Physics of materials",252,6,5,Since 2019,"Sergio BrovelliUniversità degli Studi di Milano BicoccaVerified email at unimib.it, Valerio PinchettiLos Alamos National Laboratory, Physical Chemistry and Applied Spectroscopy GroupVerified email at lanl.gov, Francesco MeinardiVerified email at mater.unimib.it, Scott CrookerNational High Magnetic Field Lab - Los Alamos National LaboratoryVerified email at lanl.gov, Monica LorenzonResearch Scientist at KLA-TencorVerified email at kla-tencor.com, Davide SciaccaR&D Engineer at Saint-Gobain Research ParisVerified email at saint-gobain.com, Liberato MannaIstituto Italiano di TecnologiaVerified email at iit.it, Quinten AkkermanGroup Leader at Ludwig Maximilian University of MunichVerified email at lmu.de, Marco FanciulliProfessor of Condensed Matter Physics, University of Milano BicoccaVerified email at unimib.it"
Abhishek Samantray,Male,IIT,IIT Roorkee,IIT Roorkee,http://web.archive.org/web/20240728112016/https://www.iitr.ac.in/,https://www.iitr.ac.in/,https://scholar.google.com/citations?user=BImkcowAAAAJ&hl=en,Uttarakhand,,"Contemporary Socio-Economic Topics (e.g., digital markets & society, sustainable health & development, finance & society, etc.), Business & Industry Analytics, Applied Data Science (statistics, causal inference, networks, big data analytics)",,,,"Master of Science (5-year Integrated Programme), Master in Economics","Mathematics, Economic Theory and Econometrics","National Institute of Science Education and Research (Bhubaneswar, India), Toulouse School of Economics (Toulouse, France)",,,,Ph.D.,"Economics, Management and Data Science","IMT School for Advanced Studies Lucca (Lucca, Italy)",Faculty Member,IIT Roorkee,April 2021 - Present,Joint Faculty Member,Mehta Family School of Data Science and Artificial Intelligence,June 2021 - Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIT,Abhishek Samantray,IIT Roorkee,5,35,43,149,5351490043,Assistant Professor,Humanities and Social Sciences,Uttarakhand,Assistant Professor,,Abhishek Samantray,not found,Indian Institute of Technology Roorkee,"applied data science, social networks, big data analytics",82,3,1,Since 2019,"Paolo PinDipartimento di Economia Politica e Statistica, Università di SienaVerified email at unisi.it, Massimo RiccaboniIMT LuccaVerified email at imtlucca.it, Michele StarniniPhD, Centai Institute, TurinVerified email at upc.edu, Claudia ZuccaAssistant Professor, JADS - Tilburg UniversityVerified email at tilburguniversity.edu, Christos Andreas MakridisDepartment of Veterans Affairs, Columbia University, and Stanford UniversityVerified email at stanford.edu, Christos NicolaidesUniversity of Cyprus, MIT Sloan School of ManagementVerified email at ucy.ac.cy, Alexandre GaillardBrown UniversityVerified email at brown.edu"
ABHRADEEP MAITI,Male,IIM,IIM-Kashipur,IIM-Kashipur,http://web.archive.org/web/20240802060946/https://www.iimkashipur.ac.in/,https://www.iimkashipur.ac.in/,https://scholar.google.com/citations?user=hFfnRsYAAAAJ&hl=en,Uttarakhand,"Microeconomics 
Applied Econometrics for Managers
Advanced Microeconomics
Econometrics-I
Labor Economics
Applied Empirical Methods",Applied Microeconomics,BSc,Economics,University of Calcutta,MA,"Economics,","University of Oklahoma, USA",,,,PhD,Economics,"Middle Tennessee State University, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIM,ABHRADEEP MAITI,IIM-Kashipur,3,35,22,120,3351200022,Associate Professor & Area Chairperson,Economics,Uttarakhand,Associate Professor,,Lokesh Posti,not found,"OP Jindal Global University, Sonipat, India","Business Economics, Development Economics",1,1,0,Since 2019,"Abhradeep MaitiIndian Institute of Management KashipurVerified email at iimkashipur.ac.in, RAHUL KUMARIIM RanchiVerified email at iimsambalpur.ac.in, Vaibhav BhamoriyaIndian Institute of Management KashipurVerified email at iimkashipur.ac.in, Sabyasachi PatraIndian Institute of Management KashipurVerified email at iimkashipur.ac.in"
Abodh Kumar,Male,Central,Central University of South Bihar,Central University of South Bihar,http://web.archive.org/web/20240731164115/https://www.cusb.ac.in/,https://www.cusb.ac.in/,https://scholar.google.com/citations?user=0XOjescAAAAJ&hl=en,Bihar,"Microeconomics, Development Economics, Behavioral Economics",,,,,,,,,,,Ph.D.,Economics,"Mumbai School of Economics and Public Policy (MSE-PP), Mumbai",Research Associate,"National Council of Applied Economic Research, (NCAER), New Delhi ","December, 2006 –June, 2007",Junior Lecturer,"Symbiosis Centre for Management and Human Resource Development (SCMHRD), Symbiosis International University, Pune","July, 2007to August, 2009",Assistant Professor,"Symbiosis Centre for Management and Human Resource Development (SCMHRD), Symbiosis International University, Pune","August, 2009 –August 2013",Assistant Professor,"Department of Economic Studies and Policy, School of Social Sciences and Policies, Central University of South Bihar",Since September 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030460031.0,Central,Abodh Kumar,Central University of South Bihar,1,4,44,46,1040460044,Associate Professor,ECONOMIC STUDIES AND POLICY,Bihar,Associate Professor,,Abodh Kumar,not found,Central University of South Bihar,"Labour Economics, Development Economics",3035,20,52,Since 2019,not found
